"CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE"
"66716912010661","66716849010661",2001,46,2,33,28419,3,1,122,9,.0009,25,,"",2004-06-07,"10661","",2014-10-30,"489998",25,1874.132061,5,1
"66716915010661","66716849010661",2001,46,2,33,28419,4,1,122,9,.0001,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66726156010661","66726100010661",2001,46,2,47,20373,1,1,763,43,58.3174,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66695448010661","66695398010661",2001,46,2,63,20564,1,1,122,9,1.4056,15,,"",2004-06-07,"10661","",2014-10-30,"489998",15,1124.479237,5,1
"66695452010661","66695398010661",2001,46,2,63,20564,1,1,763,43,.7776,4,,"",2004-06-07,"10661","",2014-10-30,"489998",4,299.86113,5,1
"66695458010661","66695398010661",2001,46,2,63,20564,2,1,122,9,.0937,1,,"",2004-06-07,"10661","",2014-10-30,"489998",1,74.965282,5,1
"66695463010661","66695398010661",2001,46,2,63,20564,2,1,544,36,1.6468,8,,"",2004-06-07,"10661","",2014-10-30,"489998",8,599.72226,5,1
"66695469010661","66695398010661",2001,46,2,63,20564,2,1,763,43,1.1663,6,,"",2004-06-07,"10661","",2014-10-30,"489998",6,449.791695,5,1
"66695473010661","66695398010661",2001,46,2,63,20564,3,1,122,9,1.0308,11,,"",2004-06-07,"10661","",2014-10-30,"489998",11,824.618107,5,1
"66695481010661","66695398010661",2001,46,2,63,20564,4,1,122,9,14.056,3,,"",2004-06-07,"10661","",2014-10-30,"489998",3,224.895847,5,1
"66695644010661","66695606010661",2001,46,2,63,20567,4,1,763,43,6.2205,32,,"",2004-06-07,"10661","",2014-10-30,"489998",32,2398.889038,5,1
